,Zone,Type,Pass,Axial,Radial,Value
0,1.0,0.0,0.0,0.0,0.0,4.301300634252296
1,65.0,0.0,0.0,0.0,1.0,3.6722172270904045
2,129.0,0.0,0.0,0.0,2.0,3.26544309766323
3,193.0,0.0,0.0,0.0,3.0,3.153865727672829
4,9.0,0.0,0.0,1.0,0.0,8.980354048606424
5,73.0,0.0,0.0,1.0,1.0,7.862994265792124
6,137.0,0.0,0.0,1.0,2.0,7.045850289972271
7,201.0,0.0,0.0,1.0,3.0,7.0501705332984645
8,17.0,0.0,0.0,2.0,0.0,13.940123212975395
9,81.0,0.0,0.0,2.0,1.0,12.276318913520365
10,145.0,0.0,0.0,2.0,2.0,11.037550933378375
11,209.0,0.0,0.0,2.0,3.0,11.280084175663127
12,25.0,0.0,0.0,3.0,0.0,18.784148772799465
13,89.0,0.0,0.0,3.0,1.0,16.431965855659374
14,153.0,0.0,0.0,3.0,2.0,14.922917667066182
15,217.0,0.0,0.0,3.0,3.0,15.340508828334066
16,33.0,0.0,0.0,4.0,0.0,23.105286819023423
17,97.0,0.0,0.0,4.0,1.0,20.371398614795954
18,161.0,0.0,0.0,4.0,2.0,18.47583999343745
19,225.0,0.0,0.0,4.0,3.0,19.057530943264023
20,41.0,0.0,0.0,5.0,0.0,26.83734418285803
21,105.0,0.0,0.0,5.0,1.0,23.738631867621162
22,169.0,0.0,0.0,5.0,2.0,21.594649166917364
23,233.0,0.0,0.0,5.0,3.0,22.24641217645784
24,49.0,0.0,0.0,6.0,0.0,29.95985103974654
25,113.0,0.0,0.0,6.0,1.0,26.576022931809348
26,177.0,0.0,0.0,6.0,2.0,24.105426489722987
27,241.0,0.0,0.0,6.0,3.0,24.895863976602186
28,57.0,0.0,0.0,7.0,0.0,32.57634545299835
29,121.0,0.0,0.0,7.0,1.0,28.836975454251544
30,185.0,0.0,0.0,7.0,2.0,26.13052824071249
31,249.0,0.0,0.0,7.0,3.0,26.890123631185773
32,2.0,0.0,1.0,0.0,0.0,32.67691653749128
33,66.0,0.0,1.0,0.0,1.0,32.1416890657921
34,130.0,0.0,1.0,0.0,2.0,31.68189876913446
35,194.0,0.0,1.0,0.0,3.0,31.53164403915866
36,10.0,0.0,1.0,1.0,0.0,37.14711851870946
37,74.0,0.0,1.0,1.0,1.0,36.09379764848969
38,138.0,0.0,1.0,1.0,2.0,35.264790131684904
39,202.0,0.0,1.0,1.0,3.0,35.31242418409571
40,18.0,0.0,1.0,2.0,0.0,41.749105290141074
41,82.0,0.0,1.0,2.0,1.0,40.22121418037122
42,146.0,0.0,1.0,2.0,2.0,39.0584121718607
43,210.0,0.0,1.0,2.0,3.0,39.2410384292449
44,26.0,0.0,1.0,3.0,0.0,46.35701794200833
45,90.0,0.0,1.0,3.0,1.0,44.216826631485944
46,154.0,0.0,1.0,3.0,2.0,42.774062860551325
47,218.0,0.0,1.0,3.0,3.0,43.14307336419966
48,34.0,0.0,1.0,4.0,0.0,50.41008462210798
49,98.0,0.0,1.0,4.0,1.0,47.90826746320619
50,162.0,0.0,1.0,4.0,2.0,46.147798962081254
51,226.0,0.0,1.0,4.0,3.0,46.59805084497974
52,42.0,0.0,1.0,5.0,0.0,53.90681100638326
53,106.0,0.0,1.0,5.0,1.0,51.083513632945504
54,170.0,0.0,1.0,5.0,2.0,49.01453809601336
55,234.0,0.0,1.0,5.0,3.0,49.58665159162646
56,50.0,0.0,1.0,6.0,0.0,56.82892286463975
57,114.0,0.0,1.0,6.0,1.0,53.680910095776305
58,178.0,0.0,1.0,6.0,2.0,51.37318881710499
59,242.0,0.0,1.0,6.0,3.0,52.0560955591253
60,58.0,0.0,1.0,7.0,0.0,59.16910559225502
61,122.0,0.0,1.0,7.0,1.0,55.806056337910306
62,186.0,0.0,1.0,7.0,2.0,53.20669071707542
63,250.0,0.0,1.0,7.0,3.0,53.89100405655797
64,3.0,0.0,2.0,0.0,0.0,59.27743655833431
65,67.0,0.0,2.0,0.0,1.0,58.77162002470037
66,131.0,0.0,2.0,0.0,2.0,58.31899629111366
67,195.0,0.0,2.0,0.0,3.0,58.377151322370196
