,Zone,Type,Pass,Axial,Radial,Value
0,1.0,0.0,0.0,0.0,0.0,2.6729141938925074
1,65.0,0.0,0.0,0.0,1.0,2.3110040792771485
2,129.0,0.0,0.0,0.0,2.0,2.0188241851754314
3,193.0,0.0,0.0,0.0,3.0,1.9359246345452488
4,9.0,0.0,0.0,1.0,0.0,7.2659158921459195
5,73.0,0.0,0.0,1.0,1.0,6.324472237700705
6,137.0,0.0,0.0,1.0,2.0,5.65995170090774
7,201.0,0.0,0.0,1.0,3.0,5.586401787805982
8,17.0,0.0,0.0,2.0,0.0,12.163447443886366
9,81.0,0.0,0.0,2.0,1.0,10.66612932532809
10,145.0,0.0,0.0,2.0,2.0,9.620989029810978
11,209.0,0.0,0.0,2.0,3.0,9.704838500242781
12,25.0,0.0,0.0,3.0,0.0,17.056758746490424
13,89.0,0.0,0.0,3.0,1.0,14.96569873600817
14,153.0,0.0,0.0,3.0,2.0,13.562087537194055
15,217.0,0.0,0.0,3.0,3.0,13.825462708862815
16,33.0,0.0,0.0,4.0,0.0,21.65436229623574
17,97.0,0.0,0.0,4.0,1.0,19.02037926072558
18,161.0,0.0,0.0,4.0,2.0,17.262253445292043
19,225.0,0.0,0.0,4.0,3.0,17.694367388389214
20,41.0,0.0,0.0,5.0,0.0,25.63741973213047
21,105.0,0.0,0.0,5.0,1.0,22.645609970352886
22,169.0,0.0,0.0,5.0,2.0,20.5253058132796
23,233.0,0.0,0.0,5.0,3.0,21.063728823409058
24,49.0,0.0,0.0,6.0,0.0,28.94610336853153
25,113.0,0.0,0.0,6.0,1.0,25.654106796389016
26,177.0,0.0,0.0,6.0,2.0,23.2426612841573
27,241.0,0.0,0.0,6.0,3.0,23.83817194010029
28,57.0,0.0,0.0,7.0,0.0,31.72807051270017
29,121.0,0.0,0.0,7.0,1.0,28.094554449034412
30,185.0,0.0,0.0,7.0,2.0,25.44330767284829
31,249.0,0.0,0.0,7.0,3.0,26.00164290228749
32,2.0,0.0,1.0,0.0,0.0,31.23014728925995
33,66.0,0.0,1.0,0.0,1.0,30.888169080106533
34,130.0,0.0,1.0,0.0,2.0,30.61939464673677
35,194.0,0.0,1.0,0.0,3.0,30.515520305833803
36,10.0,0.0,1.0,1.0,0.0,35.59160894282317
37,74.0,0.0,1.0,1.0,1.0,34.71699992764982
38,138.0,0.0,1.0,1.0,2.0,34.042519288765895
39,202.0,0.0,1.0,1.0,3.0,34.0006030653856
40,18.0,0.0,1.0,2.0,0.0,40.13343299311971
41,82.0,0.0,1.0,2.0,1.0,38.78741800967844
42,146.0,0.0,1.0,2.0,2.0,37.68710923843793
43,210.0,0.0,1.0,2.0,3.0,37.85497193047796
44,26.0,0.0,1.0,3.0,0.0,44.673733829909494
45,90.0,0.0,1.0,3.0,1.0,42.88051247064099
46,154.0,0.0,1.0,3.0,2.0,41.41237883490213
47,218.0,0.0,1.0,3.0,3.0,41.71457713272281
48,34.0,0.0,1.0,4.0,0.0,48.90921957504851
49,98.0,0.0,1.0,4.0,1.0,46.713655060569806
50,162.0,0.0,1.0,4.0,2.0,44.94493817590106
