,Axial,Radial,Value,Relative Uncertainty
0,0,0,6.506724188949694e+19,0.005648395024995105
1,0,1,6.279639558748039e+19,0.0047345132180060335
2,0,2,7.2312615183425356e+19,0.004883832725053832
3,0,3,8.27881109282083e+19,0.005249209441032013
4,1,0,7.595853236925155e+19,0.004876000359044164
5,1,1,6.834000568079202e+19,0.004737469133459542
6,1,2,7.712728667108054e+19,0.004776832101531479
7,1,3,8.747145612242258e+19,0.004550655151169739
8,2,0,8.153982755945718e+19,0.0042784983723353435
9,2,1,7.269025375916123e+19,0.004360695012361889
10,2,2,8.143056819702623e+19,0.004786241409630979
11,2,3,9.166355328581832e+19,0.005553701778443948
12,3,0,8.073503115736749e+19,0.003349761185104766
13,3,1,7.123024243839049e+19,0.0029364282065366264
14,3,2,7.910425967113429e+19,0.0032583154210119075
15,3,3,8.808833271301005e+19,0.0036493290442135575
16,4,0,7.432920302977943e+19,0.004317758258580482
17,4,1,6.549893877551738e+19,0.004590897855857042
18,4,2,7.2360653852034195e+19,0.004596988203659891
19,4,3,8.059762834033585e+19,0.004237469041822997
20,5,0,6.543023052383547e+19,0.004427921789946741
21,5,1,5.757704361019826e+19,0.0050344240011557075
22,5,2,6.343955834190625e+19,0.0050736736769957
23,5,3,7.0720287594197656e+19,0.004802420922510535
24,6,0,5.315681891434939e+19,0.005958573459677721
25,6,1,4.689914546218378e+19,0.005692262102751472
26,6,2,5.201514332499477e+19,0.005972914135063777
27,6,3,5.872238419316024e+19,0.006559578317083793
28,7,0,4.262017915247534e+19,0.00687166641712371
29,7,1,3.977226484074492e+19,0.00739203752157186
30,7,2,4.4756789800754995e+19,0.007144819857990043
31,7,3,5.128701910205396e+19,0.00831912326434676
