,Axial,Radial,Value,Relative Uncertainty
0,0,0,7558892.599347963,0.006100606062331961
1,0,1,7655110.062274115,0.0062198274568432245
2,0,2,8519132.756288825,0.006418405676172725
3,0,3,9766164.35219295,0.00524336385820008
4,1,0,8912883.202478806,0.004717649375774517
5,1,1,8404428.298458053,0.00525906407958332
6,1,2,9013181.526155153,0.004995967923169151
7,1,3,10153601.727402788,0.0043913701973421196
8,2,0,9387427.52207383,0.004135259459917307
9,2,1,8921998.77336599,0.0043973424130927695
10,2,2,9525113.872394592,0.004111489263161495
11,2,3,10598333.706222668,0.004770097386917617
12,3,0,9104205.86086178,0.004148022968527681
13,3,1,8713358.894504314,0.004123976732510347
14,3,2,9242948.325609209,0.00414156762668936
15,3,3,10220805.912201948,0.004300930818893376
16,4,0,8323035.061743207,0.0044604837673687175
17,4,1,8011478.465274198,0.004683636341723561
18,4,2,8539279.491826076,0.00421148097192356
19,4,3,9299378.106868247,0.005481106783465865
20,5,0,7120866.324948911,0.004591919113470053
21,5,1,6876111.475147741,0.005366576555111182
22,5,2,7311789.056960765,0.0053262524448805925
23,5,3,8048260.542675996,0.006052854493462228
24,6,0,5685501.718493257,0.005933533444277283
25,6,1,5601186.901966628,0.006037930751264484
26,6,2,5903297.936031281,0.00708158843828509
27,6,3,6577899.203517659,0.006708822955513725
28,7,0,4219385.451912327,0.0066760805711225295
29,7,1,4465023.145055161,0.006903064059541858
30,7,2,4984929.670452967,0.0065040901066611605
31,7,3,5692083.174019031,0.007622140469242586
