,0_0,0_30,0_60,0_68,1_0,1_30,1_60,1_85,2_0,2_30,2_60,2_90,2_94,3_0,3_30,3_60,3_90,3_104,4_0,4_30,4_60,4_90,4_100,5_0,5_30,5_60,5_77,6_0,6_30,6_43,7_0,7_30,7_60,7_79,8_0,8_30,8_60,8_90,8_112,9_0,9_30,9_60,9_90,9_120,9_144,10_0,10_30,10_38,11_0,11_30,11_60,11_75,12_0,12_30,12_60,12_90,12_120,12_150,12_174,13_0,13_30,13_49,14_0,14_30,14_60,14_90,14_102,15_0,15_30,15_60,15_68,16_0,16_30,16_60,17_0,17_30,17_60
lost,7.980344572666704e-13,2.885633505327371e-11,4.721651126897886e-11,4.862061850972122e-11,4.8661519270150985e-11,5.173832686739135e-11,5.51715486736095e-11,5.644819772983795e-11,5.647967053809933e-11,5.7100598487170786e-11,5.770481776666763e-11,5.803353778506977e-11,5.8033688753647806e-11,5.803302870705717e-11,5.824510892604895e-11,5.846125757562047e-11,5.867693128641417e-11,5.869208749400678e-11,5.869125400368481e-11,5.874282638886409e-11,5.889057211903865e-11,5.903100588425299e-11,5.904554561376936e-11,5.904596739965247e-11,5.90844810969013e-11,5.909154352135991e-11,5.906837232210131e-11,5.905929571644358e-11,5.905934267529878e-11,5.905381596886412e-11,5.906293990505832e-11,5.904332890970381e-11,5.904227593937251e-11,5.902772299824264e-11,5.902492840877151e-11,5.904987091612873e-11,5.900579461762663e-11,5.899940521693413e-11,5.900944852073543e-11,5.901063758425872e-11,5.902929435328095e-11,5.906562243688481e-11,5.906879645448642e-11,5.907001834600415e-11,5.907379732194854e-11,5.907391905378781e-11,5.906517159749879e-11,5.906184737171587e-11,5.905851968025235e-11,5.905598583329666e-11,5.90391259767484e-11,5.90289953017454e-11,5.903397592366502e-11,5.905376480471503e-11,5.903829759108587e-11,5.901572470673919e-11,5.899508418321479e-11,5.898828027751443e-11,5.898241137339599e-11,5.897709955197324e-11,5.894310347709085e-11,5.894074075816358e-11,5.894161286973721e-11,5.891356046548565e-11,5.891350821642439e-11,5.892207352533221e-11,5.892150965694276e-11,5.891944825296512e-11,5.892719075105038e-11,5.895463718260808e-11,5.895884613684607e-11,5.896406235387023e-11,5.89840567154594e-11,5.897505995963426e-11,5.897342552970989e-11,5.898339367445195e-11,5.896508776303151e-11
1001.09c,1.2643324513809609e-15,1.4373357575535518e-09,2.156087376855487e-09,2.1625979360106364e-09,2.3118585245273356e-09,1.1123487398382965e-09,9.063915019838238e-10,1.1001917819066703e-09,9.768098580108625e-10,1.019165726107742e-09,9.98822619834201e-10,1.0405119946017746e-09,1.0399720415860893e-09,1.0305829579153695e-09,1.3834261234485895e-09,1.6581553138056202e-09,1.8976324729257654e-09,1.906251794967587e-09,1.9051065761652832e-09,1.6787606797174012e-09,1.3755004191516306e-09,1.248497880556697e-09,1.232763839735377e-09,1.2314898520608264e-09,1.603975277821599e-09,1.796553579611218e-09,1.9551428933533217e-09,1.9941136342784363e-09,1.6550275861561368e-09,1.6734571095512445e-09,1.6725885935620319e-09,1.937757334977901e-09,2.158946229014001e-09,2.188250338660731e-09,2.1605759477678766e-09,2.1242487823295986e-09,1.9151191931342843e-09,1.881360159630557e-09,1.7863349360712871e-09,1.7929050285967364e-09,1.4637773355547293e-09,1.4754158259189499e-09,1.4373705993073973e-09,1.49892934800306e-09,1.5867356638639438e-09,1.59064683927883e-09,1.674480610672413e-09,1.7097325213369992e-09,1.7038529380251724e-09,1.561155532230664e-09,1.3112638650440555e-09,1.2070977806586098e-09,1.2051572541733526e-09,1.2678922207459401e-09,1.5280007348516916e-09,1.6879038822868641e-09,1.733969314981563e-09,1.8157386002722003e-09,1.8800432636054116e-09,1.8798476385040374e-09,1.880879689972513e-09,1.845495433696311e-09,1.851873083007177e-09,1.807698705102115e-09,2.002371075906975e-09,1.937386200167163e-09,1.8288715173129452e-09,1.8108477742143123e-09,1.6533063257328696e-09,1.6779907974141248e-09,1.686982799897137e-09,1.6885829406704703e-09,1.7506609604431996e-09,1.7594566710348233e-09,1.7604875049411725e-09,1.788293244155464e-09,1.7260053114695297e-09
1002.09c,5.182417308759409e-19,2.48866242024846e-11,3.016854345194163e-11,3.028189551757266e-11,6.806218141595963e-11,1.428712636823025e-10,2.7061440110095684e-10,3.0640123145368e-10,2.7243949098661584e-10,2.025317730267047e-10,1.787844500925658e-10,1.7607577054615753e-10,1.759317727104314e-10,1.7590473764035093e-10,2.124164272276802e-10,1.4166355102665263e-10,1.2786262013849914e-10,1.3216031179839043e-10,1.3214804370029358e-10,7.073423408916606e-11,6.9489355798968e-11,8.445230504355536e-11,7.338767603574079e-11,7.258820954564157e-11,1.7727290147466367e-10,2.232089338123176e-10,2.4488491441567435e-10,2.455101020228451e-10,2.0188438162989586e-10,1.898187001634099e-10,1.9012112149073227e-10,2.0238662965091243e-10,2.0342912080649794e-10,1.7239687417441128e-10,1.7093617981022577e-10,1.6530824665206904e-10,1.76730363996333e-10,1.9919167247639213e-10,2.0806236535082027e-10,2.1236205924864606e-10,2.0658794097779855e-10,1.7968781435851863e-10,1.9399618467360613e-10,1.849640991684831e-10,1.8722562715558577e-10,1.8582149429914295e-10,1.9742945398335642e-10,2.057668676781214e-10,2.044910368746915e-10,1.831538544678078e-10,1.3402674000647732e-10,1.2015066015179355e-10,1.1979845449430715e-10,1.498991395731558e-10,1.85461929504953e-10,2.0962319490091652e-10,2.2546502968019438e-10,2.4290059426909667e-10,2.4608775450628355e-10,2.4590246724719694e-10,2.0777395609356515e-10,1.9659959564372816e-10,1.9617266691756626e-10,2.017629699417894e-10,2.0308623242627157e-10,1.858394818939331e-10,1.7739049900991723e-10,1.7668533029208168e-10,1.6696070168828204e-10,1.6890409751510154e-10,1.7176880969458167e-10,1.720941716026127e-10,1.7273232872744456e-10,1.8405642585578367e-10,1.8425494328118177e-10,1.931417016776459e-10,1.8016046630809776e-10
1003.09c,1.9447914119632757e-24,2.2609515898025882e-15,6.7596070046110694e-15,7.150742767050392e-15,1.1996986949187004e-14,1.1261611240070954e-13,1.4990991612512973e-13,1.543540618335783e-13,1.4946013688716355e-13,4.1506783180406124e-14,1.1047853557820916e-13,1.1396159277047433e-13,1.1396170815915843e-13,1.1386512544564829e-13,1.4792926575134067e-13,5.069811889240615e-14,4.7533604167753065e-14,4.7566255373412155e-14,4.745721008464145e-14,9.826969724844045e-15,9.650144786389714e-15,6.093339864110172e-14,6.199622266448281e-14,6.204788763673851e-14,3.1158431784084474e-13,3.31146732989492e-13,3.4255090205959415e-13,3.412135961871423e-13,1.113450634579632e-13,1.0193599955503868e-13,1.021288923254709e-13,8.811971294734665e-14,8.128061294341484e-14,5.353617494682021e-14,5.2907016157762e-14,7.548400489534403e-14,1.1696430653572873e-13,1.588962288097282e-13,1.696794944154986e-13,1.7251235295096356e-13,1.5375019980862847e-13,1.8911682032765107e-13,1.8847274163831854e-13,2.0244994392411468e-13,2.1781035509943575e-13,2.1608407776638275e-13,2.318320703848034e-13,2.448643818730419e-13,2.4621057701097093e-13,2.1575309473004462e-13,1.0966197038213732e-13,7.935641406264452e-14,7.830517116040626e-14,2.29817606267865e-13,3.9348661763376837e-13,4.467507360412899e-13,4.775915011280955e-13,4.946915686847203e-13,4.904329781027313e-13,4.898745851332919e-13,2.9502999159992565e-13,1.8669358899384445e-13,1.8076074355038412e-13,1.0677253347700172e-13,9.314784071462058e-14,7.806856260418115e-14,7.356710681417055e-14,7.329974439004469e-14,7.656963513601592e-14,1.0315022495113977e-13,1.0832388090473453e-13,1.0881551384837111e-13,2.6823758183802827e-13,1.3847325392520337e-12,1.4052185369227203e-12,1.5496522483137308e-12,5.293435520052945e-13
2003.09c,5.167162286534883e-28,9.25633909699558e-17,2.5750877941752847e-16,2.708990189793244e-16,1.1149377212278016e-15,2.5737652138404416e-15,2.99381739648456e-15,3.080716105950971e-15,2.2769749423897448e-15,1.0652665542178595e-15,1.5570206213948951e-15,1.5876062227348422e-15,1.5876114459708518e-15,1.5378743172188422e-15,1.5410283667992683e-15,8.783748282152529e-16,8.59018143316709e-16,8.594026409699402e-16,8.158255783610072e-16,1.886995200677542e-16,1.899721560284713e-16,5.386020226888091e-16,5.459612771893959e-16,5.578807047084794e-16,2.1422167930883906e-15,2.2788977129513965e-15,2.3570493453204e-15,2.392452467943508e-15,1.4520207323856492e-15,1.3781877440551857e-15,1.359877807849143e-15,1.2633880866757038e-15,1.219081011049865e-15,1.030590587330933e-15,1.0022004086105975e-15,9.796189607549607e-16,1.276390232863357e-15,1.5610356141654414e-15,1.6350162275753218e-15,1.7551404203827158e-15,1.7339656490854823e-15,1.934832283502479e-15,1.9336126545072757e-15,2.0269191342272172e-15,2.1316703909842244e-15,2.1124875584446008e-15,2.3126800029561603e-15,2.4137033494274096e-15,2.350034854306202e-15,1.795188051541061e-15,1.0364589398446465e-15,8.25492469504276e-16,8.276345103865769e-16,1.81099714272957e-15,2.8919610167240306e-15,3.2571265814583016e-15,3.4648050918509e-15,3.5807435490787896e-15,3.5529640411155465e-15,3.5486535304390286e-15,2.2372546271210125e-15,1.5643449572820655e-15,1.536277017137138e-15,1.0968002670887608e-15,1.0149467589549098e-15,9.020668893987813e-16,8.68879363329304e-16,8.575457648108576e-16,8.30845338581294e-16,9.763680156835447e-16,1.0089807031356765e-15,1.0110092216918214e-15,1.633231427568807e-15,7.73519725832744e-15,7.86511631790457e-15,9.13685395119382e-15,3.672720569029986e-15
2004.09c,2.0151551640915867e-09,2.0349056572175986e-07,8.970771015754233e-07,1.013306039977222e-06,1.0150577226338697e-06,1.110960729293326e-06,1.3274335093855282e-06,1.4865057999845295e-06,1.4872873865224151e-06,1.5030422612141574e-06,1.5404397988043398e-06,1.57398014700602e-06,1.5740083240531202e-06,1.5736138401079957e-06,1.5933948046551519e-06,1.6015494903479296e-06,1.6217467569663594e-06,1.6236280339364677e-06,1.6226653274634658e-06,1.614240978196105e-06,1.6258852485399507e-06,1.6400894825446154e-06,1.641655613707026e-06,1.6420509987480068e-06,1.6425745612649012e-06,1.6452160372466153e-06,1.6430429120499919e-06,1.6431702801169947e-06,1.6486338948474096e-06,1.6525631184337549e-06,1.6525097773497391e-06,1.6543246616935853e-06,1.65891811951153e-06,1.6572343665001985e-06,1.6570370963179792e-06,1.6591796094833358e-06,1.6501151459879279e-06,1.6467076790197658e-06,1.6465475854540232e-06,1.6470716798859068e-06,1.6498153145542015e-06,1.6538340568279792e-06,1.656668789393761e-06,1.6609391832543392e-06,1.6650804095282529e-06,1.665189227185862e-06,1.66834906572037e-06,1.6684161725149204e-06,1.6682555288212459e-06,1.6683993037813147e-06,1.6710763692970192e-06,1.671237142448949e-06,1.6714458477173365e-06,1.6746845479018275e-06,1.6722483805140088e-06,1.6685992291535945e-06,1.6662955771205575e-06,1.6648824035310182e-06,1.6629165809673792e-06,1.6625407420283527e-06,1.659341959149203e-06,1.6598191708471258e-06,1.659950136747209e-06,1.6603961623873802e-06,1.6601142583243141e-06,1.658642435833128e-06,1.6583146231560278e-06,1.6582349697005436e-06,1.6582469813303057e-06,1.6606062140904001e-06,1.6611963975559291e-06,1.6614204105442608e-06,1.6632188928203285e-06,1.6647933481331825e-06,1.6648336975629735e-06,1.6671241460890475e-06,1.6635493013081117e-06
20060,7.021773304610253e-46,1.037106203377768e-28,1.9262685631977217e-28,1.9262681199646877e-28,2.438846057528369e-28,2.332082244724071e-28,9.82139136957532e-28,1.2827084605711163e-27,1.5495430310229396e-27,1.4716082504755959e-27,1.3351502783721082e-27,1.3353140000895127e-27,1.3335738361399363e-27,1.2659570266139989e-27,1.528929386228002e-27,9.122843149993607e-28,8.909063507917858e-28,9.240730938932776e-28,9.170544915681911e-28,7.385233501532581e-28,7.194533458062521e-28,1.2146101915029121e-27,1.1385605221031358e-27,1.1096269801832716e-27,1.857948810345949e-26,1.8761294359783092e-26,1.8867047895104236e-26,1.7796788394366966e-26,9.76997146314981e-28,1.0294230068755856e-27,1.125330099607045e-27,1.4324406565405473e-27,1.3992999904940778e-27,1.224040535107182e-27,1.2392218265117765e-27,1.109837916095955e-27,1.1023067725080615e-27,1.3065088389627743e-27,1.3723619873212702e-27,1.3637839402233457e-27,1.3816135167871626e-27,7.128491041816838e-27,8.658897011697823e-27,1.1043283981698761e-26,1.2279557201692633e-26,1.321972173202237e-26,1.3240308622162598e-26,1.3370236962308496e-26,1.2056731529523469e-26,8.484049063083035e-27,5.346975001064204e-27,4.387093373272883e-27,4.626700492346285e-27,3.40626550754254e-26,8.508348808906004e-26,9.799027727137885e-26,1.2319595424635544e-25,1.3789167000683823e-25,1.3307823305791658e-25,1.1749966565125794e-25,7.359998436203305e-26,3.551139831791392e-26,3.318305910308634e-26,3.7902411400975374e-27,1.4770621759966856e-27,1.3138092054254995e-27,1.2561294064825096e-27,1.2962229144483694e-27,1.1780966385406258e-27,1.1671862824153094e-27,1.1814606131758226e-27,1.3340775348022807e-27,1.0748227584369518e-25,8.302308222019267e-25,8.148609489994713e-25,9.067911871395394e-25,2.857885882658162e-25
3006.09c,4.218018888548401e-40,9.304162244558544e-22,2.5458995474074412e-21,2.5458989620249106e-21,2.567100247029981e-21,2.122426719174816e-21,1.5967842906584605e-20,2.2005429126670915e-20,2.2097777317013134e-20,2.2002965926074215e-20,1.8720103279463832e-20,1.866911812841113e-20,1.8636073161494176e-20,1.8597620835725712e-20,2.0099255045877676e-20,1.1483281875053135e-20,1.1366962810360182e-20,1.1962417988044232e-20,1.1966572275129265e-20,1.1265549134255446e-20,1.1223282603855721e-20,2.1494628414637897e-20,2.0190381975407604e-20,2.005932928056093e-20,6.891144108356962e-20,7.067593038714632e-20,7.154795953059532e-20,7.10175265493399e-20,1.44302413386507e-20,1.584354337996046e-20,1.5990106511773923e-20,2.0085915014272635e-20,1.9663863930980973e-20,1.7635032075902813e-20,1.755005337060523e-20,1.6105459007506683e-20,1.5064400164112762e-20,1.79001778515165e-20,1.8938249073600277e-20,1.890468741396528e-20,1.82894670842646e-20,1.0349566392707528e-19,1.3063423259456768e-19,1.859043284531615e-19,2.157611458201614e-19,2.1624507540887034e-19,2.1778300035557706e-19,2.189409308301092e-19,2.188767601453732e-19,1.649922158479196e-19,1.1628262898966465e-19,9.948174930202121e-20,9.842336667817636e-20,1.561374074398752e-19,6.143762794231374e-19,8.629227003691624e-19,1.4927688959833163e-18,1.87474665314953e-18,1.765942838531574e-18,1.751553112342081e-18,1.10954542823548e-18,5.633522062643221e-19,5.35672318305916e-19,7.504308564988778e-20,2.4236151432914225e-20,2.078993902119396e-20,1.9999057831860315e-20,1.9947314540159642e-20,1.8402153862976096e-20,1.8169837787720116e-20,1.836539101267506e-20,1.8404160456719934e-20,4.618702378174727e-19,5.302624543915926e-18,5.414867428202448e-18,6.715076762054224e-18,2.7152605001670927e-18
3007.09c,1.375835508524502e-46,2.5791429837480505e-26,2.2904985704571984e-25,2.625276635029642e-25,1.012788400016442e-24,2.637295085304999e-24,9.574227867318668e-24,1.2644508969886238e-23,9.876585526144063e-24,5.23060750271361e-24,4.871362837093464e-24,4.947092089794925e-24,4.938202063839533e-24,4.9312809067796955e-24,6.729419006285373e-24,3.487161647990197e-24,3.3038409948167506e-24,3.4300191124615306e-24,3.428763861311914e-24,8.759504352001374e-25,8.940238436878301e-25,4.151086084684579e-24,4.113788250938622e-24,4.105295807692937e-24,5.580268366333327e-23,5.817734615470351e-23,5.861810916190832e-23,5.846600430404746e-23,5.50561518189307e-24,5.273258862011272e-24,5.309229682973664e-24,6.137104818483949e-24,5.808868756015916e-24,4.567966980899442e-24,4.508979640746133e-24,4.320044410066412e-24,5.179983799847183e-24,6.646870649052936e-24,7.123880016094037e-24,7.446466563109396e-24,7.352379332413442e-24,3.313784646649166e-23,4.328803152621842e-23,6.819770731592092e-23,8.310101405135547e-23,8.259572360701798e-23,9.363934059894641e-23,1.0123280967378257e-22,1.0073552085354387e-22,7.320544156458902e-23,3.8304311908956263e-23,2.976482598634468e-23,2.9347631560031616e-23,9.386257766814382e-23,3.383341699734956e-22,4.414423425478903e-22,6.765966267892133e-22,8.514120206976998e-22,8.3462102842910225e-22,8.302473871257045e-22,3.998417376624762e-22,1.6490381185304177e-22,1.5633274622704372e-22,2.4948861361068166e-23,7.700182423579958e-24,5.37211417025662e-24,4.886873561909979e-24,4.843021530329603e-24,4.400555030716851e-24,4.497106293200889e-24,4.573470832408131e-24,4.582518822871587e-24,3.192407879742527e-22,4.205018052788994e-21,4.30304632448521e-21,5.985973002298949e-21,2.0053388676609784e-21
30080,1.814841792255349e-58,3.6700724067181364e-38,3.3048836770653696e-37,3.788356220287475e-37,1.618697752885262e-34,1.8489510387510567e-34,3.9488880772557995e-33,4.649300231115132e-33,3.3104562939821855e-33,2.3739555291925576e-33,9.255974646026167e-33,9.129317790046448e-33,9.124113489022947e-33,5.349795573548552e-33,5.4308993145030446e-33,1.7366684068541173e-34,9.9934919243236e-35,1.0287944063536793e-34,6.947367133808647e-36,1.653460813611306e-36,1.6874645056258396e-36,7.817638564076857e-36,7.747255659224111e-36,2.1024524360259518e-33,3.2303276689593706e-33,3.827208637386479e-33,4.0687265061653746e-33,5.741937102557204e-33,2.7782156864316812e-33,2.3903010974703074e-33,2.2379608228096273e-33,1.1437522736476502e-33,1.0198248914674298e-33,4.581415561427501e-34,8.50662190224659e-36,8.007026907071662e-36,9.61181134171614e-36,1.2343471460002937e-35,1.323206859855883e-35,4.8253717779169415e-33,4.145924619097346e-33,4.9090310362343606e-33,4.981768498029352e-33,5.2611764560600416e-33,5.935965416976835e-33,6.734044360831224e-33,7.412312071171745e-33,7.927504891383174e-33,1.0420233631324293e-33,1.0232980508994761e-33,5.006536244915441e-34,3.5987013388518397e-34,9.98161445555564e-34,1.775622388306514e-33,3.8679500546228174e-33,5.20693187207494e-33,6.901657578645137e-33,8.178591786770168e-33,8.119588899137043e-33,7.81735101927951e-33,4.1387427032659115e-33,2.3595304650064737e-33,2.3969306432554332e-33,9.715297585530788e-34,6.201825781334638e-34,4.523706109281072e-34,4.087827042798428e-34,1.6279637909484223e-33,1.800434136786313e-33,2.7562753267279994e-33,2.892988390244026e-33,3.994204810188923e-34,1.8889676753907988e-33,1.847427601849333e-32,1.493101394759099e-32,1.9529546172532814e-32,7.309192141646437e-33
