,1,2,3,4,Avg
0_0,2.322540473100752,1.9883884627333934,1.6642796635657893,1.649279764597569,1.906122090999376
0_1,5.441612425843392,4.498691840430644,3.813088201356151,4.042593991736346,4.448996614841634
0_2,8.933744181649095,7.583347777791432,6.473694598280268,6.749030328025578,7.434954221436593
0_3,12.741257087321715,10.694914624692139,9.207967335225948,9.687184387658828,10.582830858724659
0_4,16.471556375973936,13.802464070873821,12.05707823779897,12.375624967568477,13.6766809130538
0_5,20.06470273665976,16.85306493494885,14.603607230525858,15.030239668180196,16.637903642578667
0_6,23.154041456472104,19.393831458103232,16.912670200147414,17.216912575055925,19.16936392244467
0_7,25.556878134523384,21.564486842103133,18.698974110597078,18.858583806932653,21.169730723539065
0_8,27.351223202784887,23.379991941876597,20.527753846356266,20.684658831683073,22.985906955675205
0_9,29.798801177286332,25.848018726465817,23.006526373860275,23.159323720850008,25.45316749961561
0_10,32.65536450107406,28.7287774695665,25.90073816293063,26.048181656016915,28.333265447397025
0_11,35.669764719288246,31.771396708060642,28.96043470967134,29.10158328588162,31.37579485572546
0_12,38.63412202228399,34.76437111904678,31.971542944140044,32.106110453015674,34.36903663462162
0_13,41.40902535388491,37.56841193926108,34.79488147107962,34.92295181367172,37.17381764447433
0_14,43.766040956207036,39.950452436405534,37.19383120362479,37.31628437189738,39.556652242033685
0_15,45.5857773873646,41.79304573198414,39.052364455018015,39.17026932013472,41.400364223625374
0_16,47.31215546149875,43.54281431861097,40.81864327361911,40.93209571532769,43.15142719226412
0_17,49.598921140143375,45.85706840447275,43.152259478180014,43.25996570805434,45.46705368271262
0_18,52.22485031299692,48.514812604886885,45.83261042804558,45.93366653030702,48.1264849690591
0_19,55.13810036966647,51.46048140550497,48.80140748023182,48.89526664773031,51.073813975783395
0_20,57.958952112351696,54.31534614558825,51.68079650873001,51.76759539845703,53.93067254128175
0_21,60.57206696016595,56.96186184258455,54.35154927270891,54.431775336476406,56.579313352983945
0_22,62.76516484385054,59.1849165757123,56.59643068771118,56.6710658869383,58.80439449855308
0_23,64.49797843767524,60.94335063288763,58.373578903265624,58.44375215829778,60.56466503303157
0_24,66.12706770239133,62.59554919727695,60.04267933475067,60.1087357866613,62.21850800527006
0_25,68.19966598859473,64.69433290976376,62.160626851128065,62.22169387358283,64.31907990576734
0_26,70.69958410163868,67.2266146976365,64.71662169188338,64.77169980133337,66.85363007312299
0_27,73.3992690995104,69.96132411837694,67.47700936419105,67.52574155727717,69.5908360348389
0_28,76.04565968972418,72.64191333956755,70.18267672681577,70.22531907126624,72.27389220684344
0_29,78.40293852143441,75.03093239476938,72.59497144418654,72.63218836545295,74.66525768146082
0_30,80.4232881186479,77.07754451011617,74.66083182501598,74.69356396078477,76.7138071036412
0_31,81.9859557655882,78.66444531898146,76.26548989657518,76.29452164265984,78.30260315595118
0_32,83.48692751104377,80.18799792359184,77.80558793639914,77.83114272261818,79.82791402341323
0_33,85.37185917294255,82.09840185479925,79.73464247569915,79.7561106990453,81.74025355062156
0_34,87.71118981701142,84.46909590487154,82.12828221248569,82.14480159612826,84.11334238262423
0_35,90.20703805559886,86.99973698837167,84.68436205227636,84.69558582885341,86.64668073127507
0_36,92.62326639284309,89.44836554565312,87.15664820997075,87.1629777433559,89.09781447295572
0_37,94.90261628557478,91.75875852740423,89.4896885156857,89.49146242873141,91.41063143934903
0_38,96.81340569426109,93.69625583154043,91.44665882037346,91.44461687801989,93.3502343060487
0_39,98.22444131097295,95.12988797932557,92.89678359040032,92.89168054876727,94.78569835736653
0_40,99.5953921741628,96.52243521467078,94.30508590755058,94.29707146602244,96.17999619060164
0_41,101.36965825701601,98.32147095092647,96.1221507782036,96.11072801909437,97.98100200131012
0_42,103.56220446291337,100.54346452650067,98.36554766048435,98.3501111332129,100.20533194577783
0_43,105.84526539105498,102.85818259086504,100.70327020732499,100.68362091549943,102.52258477618611
0_44,108.0754898451131,105.11946550128971,102.98710696615416,102.96340352005164,104.78636645815216
0_45,110.11253733214113,107.18515194094891,105.07358166272454,105.04620420694056,106.85436878568878
0_46,111.84573598364881,108.9429441441442,106.84922048714992,106.81874161356158,108.61416055712614
0_47,113.16202223733899,110.27894766154465,108.1995447162753,108.16661779286827,109.9517831020068
0_48,114.46685312791861,111.60331346773964,109.53809697072046,109.50276039729707,111.27775599091893
0_49,116.1761923531709,113.33656389752767,111.28867675152749,111.25040632960749,113.01295983295839
0_50,118.15985175186805,115.34782735253854,113.31993787187928,113.27832084236648,115.02648445466309
0_51,120.32910236235118,117.54716497898765,115.54106232158992,115.49584586727184,117.22829388255015
0_52,122.46873114918665,119.71632968683947,117.73160549135577,117.68290502074015,119.3998928370305
0_53,124.3381846201187,121.61149029918714,119.64536784065741,119.59367508336817,121.29717946083285
0_54,126.02589444479695,123.3220249713822,121.37240992236491,121.31809359270711,123.00960573281279
0_55,127.26109559716565,124.57515711070866,122.63853664607315,122.582156480046,124.26423645849837
0_56,128.4523984076824,125.78453539810525,123.86102873940885,123.8025644539657,125.47513174979056
0_57,130.00011240044594,127.3531523718961,125.44476226994858,125.38394594353987,127.04549324645762
0_58,131.9298328505889,129.30832737897333,127.4183334562283,127.35468721636923,129.00279522553996
0_59,133.960540849054,131.36626395901038,129.49595879451834,129.4293039143165,131.0630168792248
0_60,135.8376574819958,133.26899915981093,131.4172299812374,131.34775909123428,132.96791142856958
0_61,137.7026914654307,135.15791322459387,133.3233947090382,133.2513583108554,134.85883942747955
0_62,139.25921711639484,136.7350480020285,134.91543477156324,134.84117949453338,136.43771984613
0_63,140.41736890015179,137.9098288319636,136.1022720716519,136.02619339492938,137.61391579967417
0_64,140.41736890015142,137.90982883196324,136.1022720716515,136.02619339492904,137.6139157996738
0_65,140.4173689001523,137.90982883196403,136.10227207165232,136.02619339492992,137.61391579967466
0_66,140.4173689001516,137.90982883196332,136.10227207165167,136.02619339492918,137.61391579967392
0_67,140.4173689001516,137.9098288319633,136.10227207165173,136.0261933949292,137.61391579967395
0_68,140.4173689001518,137.9098288319635,136.10227207165192,136.02619339492944,137.61391579967417
1_0,140.45034891817247,137.96463725484068,136.28240928323825,136.22406953789513,137.73036624853665
1_1,140.39626457608964,138.04884999320007,136.41443862535868,136.36717908718512,137.80668307045838
1_2,140.4836769106906,138.22704030885328,136.62123776555708,136.63450776810515,137.99161568830152
1_3,140.66741787814732,138.47635845324038,136.8851897184065,136.95163355510752,138.24514990122543
1_4,140.96131457679513,138.8994872369163,137.2738539540123,137.4339606190277,138.64215409668788
1_5,141.43286742320376,139.40226574252904,137.83871721530377,138.0409532627499,139.17870091094662
1_6,142.0061174976316,140.01596160848808,138.45836679971728,138.6561548166626,139.7841501806249
1_7,142.65248016023662,140.6600406377393,139.08212887572705,139.25223454967934,140.4117210558456
1_8,143.06534845172283,141.06213126906974,139.46621960580242,139.6153070621093,140.80225159717608
1_9,143.2812696378066,141.2714902744779,139.66571150209444,139.80504087863883,141.00587807325445
1_10,143.4272607558639,141.41407794432305,139.8033816604716,139.93870198357678,141.14585558605881
1_11,143.62223305257797,141.60759481032602,139.99460440736206,140.1280015651866,141.3381084588632
1_12,143.93942543437106,141.9252453003101,140.31176949200128,140.4434035832511,141.65496095248338
1_13,144.38877229442602,142.37633262847012,140.763414353621,140.8930947446304,142.1054035052869
1_14,144.94419643097322,142.93440524044846,141.32272721659353,141.45026356906413,142.66289811426984
1_15,145.55686968563668,143.55097619926846,141.94150307263973,142.06672321682962,143.27901804359362
1_16,146.08143864616534,144.07957324497335,142.4725362209303,142.59572895000653,143.80731926551888
1_17,146.4480347935593,144.44875625359077,142.84325917844407,142.9652439758436,144.17632355035943
1_18,146.7084378346326,144.7100723519823,143.1049912510698,143.22649369288177,144.43749878264163
1_19,146.94180284893582,144.94371584426725,143.33862508337208,143.45990059721115,144.67101109344657
1_20,147.21618020730887,145.21866647848321,143.61376038924368,143.73463605147018,144.94581078162648
1_21,147.5790725073364,145.58268883824374,143.9783203710822,144.09848959520872,145.30964282796776
1_22,148.04824509105347,146.05377220973045,144.4504627544128,144.5696341263557,145.7805285453881
1_23,148.6029372292206,146.6113377588999,145.0097632509096,145.12768173665208,146.33792999392054
1_24,149.1597351903486,147.17159487054673,145.57219719495316,145.68876052363274,146.8980719448703
