,Zone,Type,Pass,Axial,Radial,Value
0,1.0,0.0,0.0,0.0,0.0,4.328891547050437
1,65.0,0.0,0.0,0.0,1.0,3.7266113954180886
2,129.0,0.0,0.0,0.0,2.0,3.295603584577184
3,193.0,0.0,0.0,0.0,3.0,3.2140714648590913
4,9.0,0.0,0.0,1.0,0.0,9.061483909147189
5,73.0,0.0,0.0,1.0,1.0,7.885564434123262
6,137.0,0.0,0.0,1.0,2.0,7.0289999876788825
7,201.0,0.0,0.0,1.0,3.0,7.132457560198748
8,17.0,0.0,0.0,2.0,0.0,13.972592597721897
9,81.0,0.0,0.0,2.0,1.0,12.339741297016795
10,145.0,0.0,0.0,2.0,2.0,10.99883217907933
11,209.0,0.0,0.0,2.0,3.0,11.323931330746753
12,25.0,0.0,0.0,3.0,0.0,18.648364257536432
13,89.0,0.0,0.0,3.0,1.0,16.554970970260644
14,153.0,0.0,0.0,3.0,2.0,14.917362728682228
15,217.0,0.0,0.0,3.0,3.0,15.331269683268374
16,33.0,0.0,0.0,4.0,0.0,22.97122044608072
17,97.0,0.0,0.0,4.0,1.0,20.466416458635507
18,161.0,0.0,0.0,4.0,2.0,18.49878805475764
19,225.0,0.0,0.0,4.0,3.0,19.115562127110906
20,41.0,0.0,0.0,5.0,0.0,26.64782402275791
21,105.0,0.0,0.0,5.0,1.0,23.819378091409593
22,169.0,0.0,0.0,5.0,2.0,21.52264469053983
23,233.0,0.0,0.0,5.0,3.0,22.303382852561583
24,49.0,0.0,0.0,6.0,0.0,29.66721452772514
25,113.0,0.0,0.0,6.0,1.0,26.487130074816953
26,177.0,0.0,0.0,6.0,2.0,23.924727140918677
27,241.0,0.0,0.0,6.0,3.0,24.893223060167884
28,57.0,0.0,0.0,7.0,0.0,32.13558672212781
29,121.0,0.0,0.0,7.0,1.0,28.687740318294374
30,185.0,0.0,0.0,7.0,2.0,25.861654731084194
31,249.0,0.0,0.0,7.0,3.0,26.832847313243775
32,2.0,0.0,1.0,0.0,0.0,32.507971965570746
33,66.0,0.0,1.0,0.0,1.0,31.895886940702482
34,130.0,0.0,1.0,0.0,2.0,31.46616818355864
35,194.0,0.0,1.0,0.0,3.0,31.38598249023306
36,10.0,0.0,1.0,1.0,0.0,36.984007425191386
37,74.0,0.0,1.0,1.0,1.0,35.805093020811384
38,138.0,0.0,1.0,1.0,2.0,34.947976162569866
39,202.0,0.0,1.0,1.0,3.0,35.06762874925126
40,18.0,0.0,1.0,2.0,0.0,41.51072742611288
41,82.0,0.0,1.0,2.0,1.0,39.85719731244168
42,146.0,0.0,1.0,2.0,2.0,38.63730951157266
43,210.0,0.0,1.0,2.0,3.0,38.90252785484277
44,26.0,0.0,1.0,3.0,0.0,45.99619108605827
45,90.0,0.0,1.0,3.0,1.0,43.7554812680956
46,154.0,0.0,1.0,3.0,2.0,42.284948259746116
47,218.0,0.0,1.0,3.0,3.0,42.75231292936639
48,34.0,0.0,1.0,4.0,0.0,50.037529179908084
49,98.0,0.0,1.0,4.0,1.0,47.36819309644214
50,162.0,0.0,1.0,4.0,2.0,45.584331162791166
51,226.0,0.0,1.0,4.0,3.0,46.20625273130525
52,42.0,0.0,1.0,5.0,0.0,53.43056637366544
53,106.0,0.0,1.0,5.0,1.0,50.407699531587774
54,170.0,0.0,1.0,5.0,2.0,48.360338583680594
55,234.0,0.0,1.0,5.0,3.0,49.080999086916925
56,50.0,0.0,1.0,6.0,0.0,56.172305028207
57,114.0,0.0,1.0,6.0,1.0,52.92201797737571
58,178.0,0.0,1.0,6.0,2.0,50.635341239946726
59,242.0,0.0,1.0,6.0,3.0,51.466519750697174
60,58.0,0.0,1.0,7.0,0.0,58.35049803672798
61,122.0,0.0,1.0,7.0,1.0,54.93023249555049
62,186.0,0.0,1.0,7.0,2.0,52.45044827476922
63,250.0,0.0,1.0,7.0,3.0,53.19836757907459
64,3.0,0.0,2.0,0.0,0.0,58.5437916566547
65,67.0,0.0,2.0,0.0,1.0,58.00127051809866
66,131.0,0.0,2.0,0.0,2.0,57.552582121565344
