,Zone,Type,Pass,Axial,Radial,Value
0,1.0,0.0,0.0,0.0,0.0,3.0734576101158053
1,65.0,0.0,0.0,0.0,1.0,2.6562974130797845
2,129.0,0.0,0.0,0.0,2.0,2.3251476088340968
3,193.0,0.0,0.0,0.0,3.0,2.244699502152857
4,9.0,0.0,0.0,1.0,0.0,7.651140592402239
5,73.0,0.0,0.0,1.0,1.0,6.7174932497013025
6,137.0,0.0,0.0,1.0,2.0,5.894602929890629
7,201.0,0.0,0.0,1.0,3.0,5.978359221634661
8,17.0,0.0,0.0,2.0,0.0,12.525916479865964
9,81.0,0.0,0.0,2.0,1.0,11.071883579405497
10,145.0,0.0,0.0,2.0,2.0,9.813680785346072
11,209.0,0.0,0.0,2.0,3.0,10.174325636932734
12,25.0,0.0,0.0,3.0,0.0,17.24238921822313
13,89.0,0.0,0.0,3.0,1.0,15.278020208005163
14,153.0,0.0,0.0,3.0,2.0,13.715315052448734
15,217.0,0.0,0.0,3.0,3.0,14.3045010960832
16,33.0,0.0,0.0,4.0,0.0,21.602148587847545
17,97.0,0.0,0.0,4.0,1.0,19.188622679104554
18,161.0,0.0,0.0,4.0,2.0,17.31191515806362
19,225.0,0.0,0.0,4.0,3.0,18.117460434758033
20,41.0,0.0,0.0,5.0,0.0,25.413413101945565
21,105.0,0.0,0.0,5.0,1.0,22.64854776474648
22,169.0,0.0,0.0,5.0,2.0,20.441767614709452
23,233.0,0.0,0.0,5.0,3.0,21.393323497219523
24,49.0,0.0,0.0,6.0,0.0,28.655850053502462
25,113.0,0.0,0.0,6.0,1.0,25.53582420315353
26,177.0,0.0,0.0,6.0,2.0,23.04003092755387
27,241.0,0.0,0.0,6.0,3.0,24.06132551732309
28,57.0,0.0,0.0,7.0,0.0,31.37907992958405
29,121.0,0.0,0.0,7.0,1.0,27.927908846165312
30,185.0,0.0,0.0,7.0,2.0,25.14690626209313
31,249.0,0.0,0.0,7.0,3.0,26.139576267175208
32,2.0,0.0,1.0,0.0,0.0,31.16864483331701
33,66.0,0.0,1.0,0.0,1.0,30.760735090539672
34,130.0,0.0,1.0,0.0,2.0,30.493888890441717
35,194.0,0.0,1.0,0.0,3.0,30.41183381667322
36,10.0,0.0,1.0,1.0,0.0,35.491805575496116
37,74.0,0.0,1.0,1.0,1.0,34.544360612861524
38,138.0,0.0,1.0,1.0,2.0,33.905662290115785
39,202.0,0.0,1.0,1.0,3.0,33.93438130020449
40,18.0,0.0,1.0,2.0,0.0,39.99390708416421
41,82.0,0.0,1.0,2.0,1.0,38.57046502478654
42,146.0,0.0,1.0,2.0,2.0,37.58625680022705
43,210.0,0.0,1.0,2.0,3.0,37.76003370418087
44,26.0,0.0,1.0,3.0,0.0,44.41231835914891
45,90.0,0.0,1.0,3.0,1.0,42.64274809415089
46,154.0,0.0,1.0,3.0,2.0,41.26812808417753
47,218.0,0.0,1.0,3.0,3.0,41.59766022472274
48,34.0,0.0,1.0,4.0,0.0,48.47126788791958
49,98.0,0.0,1.0,4.0,1.0,46.36177397505743
50,162.0,0.0,1.0,4.0,2.0,44.63502869315332
51,226.0,0.0,1.0,4.0,3.0,45.15270494949427
52,42.0,0.0,1.0,5.0,0.0,52.032163432681266
53,106.0,0.0,1.0,5.0,1.0,49.5809918317579
54,170.0,0.0,1.0,5.0,2.0,47.52746751909367
55,234.0,0.0,1.0,5.0,3.0,48.24307732613023
56,50.0,0.0,1.0,6.0,0.0,55.05903131440542
57,114.0,0.0,1.0,6.0,1.0,52.264832194787886
58,178.0,0.0,1.0,6.0,2.0,49.93547067924963
59,242.0,0.0,1.0,6.0,3.0,50.77690074614844
60,58.0,0.0,1.0,7.0,0.0,57.5300479992389
61,122.0,0.0,1.0,7.0,1.0,54.47486282475751
62,186.0,0.0,1.0,7.0,2.0,51.88705097277096
63,250.0,0.0,1.0,7.0,3.0,52.704347139936516
64,3.0,0.0,2.0,0.0,0.0,57.48135644079633
65,67.0,0.0,2.0,0.0,1.0,57.08300943747386
66,131.0,0.0,2.0,0.0,2.0,56.73642974520328
67,195.0,0.0,2.0,0.0,3.0,56.831245065797944
68,11.0,0.0,2.0,1.0,0.0,61.46232499274238
69,75.0,0.0,2.0,1.0,1.0,60.58118860696739
70,139.0,0.0,2.0,1.0,2.0,59.79917592127583
71,203.0,0.0,2.0,1.0,3.0,60.05186275140558
72,19.0,0.0,2.0,2.0,0.0,65.63008081742252
73,83.0,0.0,2.0,2.0,1.0,64.30209220291674
74,147.0,0.0,2.0,2.0,2.0,63.17216804919843
75,211.0,0.0,2.0,2.0,3.0,63.59482145328258
76,27.0,0.0,2.0,3.0,0.0,69.73527923253505
77,91.0,0.0,2.0,3.0,1.0,68.03385253416353
78,155.0,0.0,2.0,3.0,2.0,66.55085183065496
79,219.0,0.0,2.0,3.0,3.0,67.13793804324303
80,35.0,0.0,2.0,4.0,0.0,73.44909712340925
81,99.0,0.0,2.0,4.0,1.0,71.46186608617364
82,163.0,0.0,2.0,4.0,2.0,69.65058764437215
83,227.0,0.0,2.0,4.0,3.0,70.35132933205834
84,43.0,0.0,2.0,5.0,0.0,76.71730065917176
85,107.0,0.0,2.0,5.0,1.0,74.47796594342068
86,171.0,0.0,2.0,5.0,2.0,72.3412424774726
87,235.0,0.0,2.0,5.0,3.0,73.18228382186723
88,51.0,0.0,2.0,6.0,0.0,79.47692177218019
89,115.0,0.0,2.0,6.0,1.0,76.96484372233913
90,179.0,0.0,2.0,6.0,2.0,74.58831499081607
91,243.0,0.0,2.0,6.0,3.0,75.52303302750425
92,59.0,0.0,2.0,7.0,0.0,81.77944279668526
93,123.0,0.0,2.0,7.0,1.0,79.00234721884846
