,Axial,Radial,Value,Relative Uncertainty
0,0,0,5.966386105094939e+19,0.008454704193307036
1,0,1,5.650524218096539e+19,0.008167099095054559
2,0,2,6.443574105574846e+19,0.007891521704720529
3,0,3,7.441948508891537e+19,0.00805568913251622
4,1,0,6.974916706081507e+19,0.006871112838072818
5,1,1,6.250645008681737e+19,0.00618272508202856
6,1,2,7.0684093211953635e+19,0.005486867361183907
7,1,3,7.909707610075672e+19,0.006011816233927634
8,2,0,7.697048808840161e+19,0.00603635500371126
9,2,1,6.8253763916089745e+19,0.005980814226773138
10,2,2,7.706574592435438e+19,0.004697448499046827
11,2,3,8.643422423562897e+19,0.005920197031012928
12,3,0,7.686771233213512e+19,0.005698485150813713
13,3,1,6.793635105734764e+19,0.005179042468567637
14,3,2,7.545247744540257e+19,0.005269815709801405
15,3,3,8.37236653410563e+19,0.006075734641665496
16,4,0,7.225286254567339e+19,0.0053811445276050664
17,4,1,6.319901837971396e+19,0.005100253570263338
18,4,2,6.982491800000793e+19,0.004966318628652242
19,4,3,7.7093479507633e+19,0.00644126702928572
20,5,0,6.368858702601655e+19,0.0065334033762341585
21,5,1,5.558021652888462e+19,0.006832651248595682
22,5,2,6.1283899114517496e+19,0.006541089993451021
23,5,3,6.8912064451196305e+19,0.007337054220977193
24,6,0,5.165613807134732e+19,0.0069139404644399955
25,6,1,4.55319912245384e+19,0.006528663434982041
26,6,2,5.0628828591197495e+19,0.006685726079399902
27,6,3,5.763176467196712e+19,0.007815227965448071
28,7,0,4.091079868168448e+19,0.00969833295342831
29,7,1,3.828177269438813e+19,0.008810493833621974
30,7,2,4.356428270802084e+19,0.00798524267396037
31,7,3,5.017443480539061e+19,0.011094526863597598
