,Axial,Radial,Value,Relative Uncertainty
0,0,0,7544161.621621829,0.00620453344768401
1,0,1,7588039.079160832,0.005341167906978037
2,0,2,8476505.655500695,0.006379434440354584
3,0,3,9727528.549349481,0.006416583732148249
4,1,0,8915198.035413476,0.005793661680679979
5,1,1,8337808.182541522,0.0056980624287368605
6,1,2,9010271.703249423,0.005830583447470796
7,1,3,10166212.97417866,0.0056319995394348695
8,2,0,9550925.528173426,0.004767184531031099
9,2,1,9002802.529669343,0.004990922304261873
10,2,2,9482548.17939479,0.0042566366323839415
11,2,3,10558308.042685568,0.004766129069667853
12,3,0,9144305.479835296,0.004330942110529023
13,3,1,8681752.35338134,0.004460466990420287
14,3,2,9213166.223130811,0.004401741125242691
15,3,3,10074787.024566678,0.004604016250142129
16,4,0,8313353.068150983,0.004458138588305254
17,4,1,7825478.139528199,0.004597458597286782
18,4,2,8269801.418597827,0.0043232475619519
19,4,3,9124931.91150222,0.004630671658287824
20,5,0,7056966.935232553,0.005421756274216931
21,5,1,6675508.8602915825,0.005022187327852154
22,5,2,7225318.415096519,0.005548320371137326
23,5,3,7933050.457843572,0.005497518169412359
24,6,0,5668279.165301011,0.00690816569689335
25,6,1,5478269.61442411,0.007361496293363634
26,6,2,5900888.930937613,0.0075762619459407215
27,6,3,6616282.891090218,0.008331184618476355
28,7,0,4310821.435765768,0.008438188165365615
29,7,1,4527949.60548066,0.009003341722499135
30,7,2,5044443.814268161,0.00916619356200422
31,7,3,5766891.962149178,0.009582385946203857
