,0_0,0_30,0_60,0_68,1_0,1_30,1_60,1_85,2_0,2_30,2_60,2_90,2_94,3_0,3_30,3_60,3_90,3_101,4_0,4_30,4_60,4_90,4_115,5_0,5_30,5_60,5_90,5_120,5_130,6_0,6_30,6_60,6_84,7_0,7_30,7_46,8_0,8_30,8_33,9_0,9_30,9_45,10_0,10_30,10_46,11_0,11_30,11_43,12_0,12_30,12_60,12_64
lost,9.218159326551505e-13,2.895638360364303e-11,4.7651421117148864e-11,4.904739112304267e-11,4.901680258413152e-11,5.2361088678517666e-11,5.589166383946279e-11,5.722502974513871e-11,5.7275090417984165e-11,5.7834107304383416e-11,5.85014107065392e-11,5.891277858136868e-11,5.891303028818051e-11,5.889690941734981e-11,5.912046122636575e-11,5.924139172287974e-11,5.937396946854982e-11,5.937634685009289e-11,5.939763495747592e-11,5.94188545468174e-11,5.949619511835523e-11,5.950714222994958e-11,5.949402876931113e-11,5.948305125305577e-11,5.947970859902313e-11,5.94668206750294e-11,5.948144271524195e-11,5.953921081719814e-11,5.954176222050102e-11,5.95420029794212e-11,5.954550454753748e-11,5.950845054761478e-11,5.949483214562488e-11,5.949452311509315e-11,5.944748299015793e-11,5.943665563901613e-11,5.943214147002934e-11,5.940089650042197e-11,5.939806506495057e-11,5.940156329303044e-11,5.941965018479403e-11,5.945084835139383e-11,5.94503242914656e-11,5.952163136320902e-11,5.952696489424051e-11,5.95260544437369e-11,5.949919678521264e-11,5.950924319420609e-11,5.951479431776738e-11,5.95505785516407e-11,5.954632497200571e-11,5.95453764039221e-11
1001.09c,1.2992473489244886e-15,3.178106769833773e-11,6.672872776281355e-11,7.086004746581584e-11,7.118172634290631e-11,2.6783360829576904e-10,1.0291228719541377e-09,1.053300713166677e-09,1.053905527184077e-09,1.4268129193773958e-09,1.4489402898373618e-09,1.7671061056265728e-09,1.7670761909399851e-09,1.7663155957265521e-09,1.895191417040201e-09,1.8077762326955487e-09,1.9349817446799664e-09,1.9922160195472655e-09,1.9933398118423465e-09,1.8104445473198418e-09,1.7031763340085285e-09,1.839432504666809e-09,1.6350485079436044e-09,1.6350601863827398e-09,1.6124567007570688e-09,1.766115828894935e-09,1.6319917063907902e-09,1.4601289818880356e-09,1.454641399554624e-09,1.454151076429892e-09,1.453193945871203e-09,1.5861658846623342e-09,1.5592350760911308e-09,1.5556414798126818e-09,1.5767323508144184e-09,1.6256744459854975e-09,1.6396918926223618e-09,1.5951649556404522e-09,1.5993639229108013e-09,1.5974155739521306e-09,1.6034855063305338e-09,1.6562694757034623e-09,1.6597647301860017e-09,1.7514075186115066e-09,1.6523289530239096e-09,1.6567587195138058e-09,1.617363122117265e-09,1.508943400938264e-09,1.4913886749455038e-09,1.4626033716962255e-09,1.6635214600946877e-09,1.6901178645891148e-09
1002.09c,5.571192265763287e-19,1.6670352404889762e-13,7.084607873257124e-13,7.726056174241015e-13,7.779575618645396e-13,1.9637939475724995e-11,8.140259897887401e-11,8.183495663627313e-11,8.186069219208218e-11,6.863158483824425e-11,4.233229022836768e-11,2.8099868671559085e-11,2.8099857343410578e-11,2.80770733505398e-11,1.2402778709949332e-10,1.3654320211546128e-10,2.2908139099140423e-10,2.3381006179227085e-10,2.338500053188404e-10,2.412311141359744e-10,2.2762640821956368e-10,2.434738525836823e-10,2.1693883640126002e-10,2.1693255697939296e-10,1.862841134156452e-10,1.8195054102087292e-10,1.623771709158634e-10,1.6948862391703754e-10,1.6918032699306116e-10,1.691671306373071e-10,1.4151151970982448e-10,1.3958713961233424e-10,1.2048141684325968e-10,1.1986829508758982e-10,9.759044558425934e-11,1.039624481094228e-10,1.0486955606001837e-10,1.4114746169681136e-10,1.4373542786192387e-10,1.4430930744543558e-10,1.440610693373028e-10,1.5078901624892176e-10,1.5150194458672415e-10,1.6379046915090532e-10,1.506335869572092e-10,1.5052887096850233e-10,1.4247137940029054e-10,1.3828737016229523e-10,1.3762319372630525e-10,1.3008291406494006e-10,1.5342172810971883e-10,1.574667832642294e-10
1003.09c,2.0415799799293026e-24,9.479817624554579e-17,5.643264815986864e-16,6.174397564953849e-16,6.173883634293805e-16,3.668182922446965e-15,1.0685406311254597e-14,1.1451374144806848e-14,1.1452811544333636e-14,9.757186394350159e-15,7.49748271890076e-15,6.853756883662335e-15,6.853825030300737e-15,6.853611522330495e-15,9.07630447830734e-14,1.2360991154451914e-13,1.3019258666815135e-13,1.304665075973932e-13,1.3047898863928548e-13,1.5017715954291516e-13,8.819832480641299e-14,1.0024469025712964e-13,9.846426958615719e-14,9.848394489664679e-14,4.7267132725305855e-14,4.1149120671852203e-14,3.101225077874924e-14,3.2313567266652655e-14,3.231522077124316e-14,3.229106782428042e-14,2.598602613171617e-14,2.6588555051392374e-14,2.4060922484900425e-14,2.3970902922199385e-14,2.492450024087171e-14,9.977331220857415e-14,1.0547352810498209e-13,1.5546712610287253e-13,1.5534258982452537e-13,1.548937195382279e-13,5.047546800925188e-14,4.988119222174339e-14,5.1113028627964204e-14,4.779754544373593e-13,4.618828215315767e-13,4.605077331547688e-13,1.769201096296938e-13,2.258725303546402e-13,2.283984175551458e-13,2.020407902467658e-13,1.7761941948269146e-13,1.7959474392240077e-13
2003.09c,5.41908014335093e-28,4.812759893316319e-18,1.6174651545478132e-17,1.7212240490681415e-17,1.730588127851592e-17,4.945979575205947e-17,1.0737125196706658e-16,1.1454586012633932e-16,1.1341957318027574e-16,1.3272069372983212e-16,1.1652183712977607e-16,1.1235965980043185e-16,1.1236054159119814e-16,1.123623782980876e-16,1.05356387109518e-15,1.2990936942999148e-15,1.3482626661949427e-15,1.3503259528147075e-15,1.343300998312074e-15,1.5542385905691957e-15,1.111442433048728e-15,1.1986853430008786e-15,1.1858215659118032e-15,1.1935573239962645e-15,5.340655597736872e-16,4.835700109511992e-16,4.1028525236440386e-16,4.1991492329228585e-16,4.1993925577684745e-16,4.1751934134762405e-16,5.277817973918248e-16,5.36744154554283e-16,5.183409607881837e-16,5.179014680987217e-16,3.6655721750905365e-16,8.908263444165245e-16,9.710955634264003e-16,1.4510545359168717e-15,1.4523795770672895e-15,1.429456289647488e-15,7.812643374000529e-16,7.771434259063219e-16,7.725772291006817e-16,2.590119913359961e-15,2.466982826453918e-15,2.476796598709498e-15,1.55586141365931e-15,1.8832664063828457e-15,1.886209116410564e-15,1.871321464821014e-15,1.7244576694717297e-15,1.7397080500299195e-15
2004.09c,1.652494098251055e-09,1.6998527740710534e-07,8.32304690048816e-07,9.431196037325814e-07,9.435919105024374e-07,1.0551635557439672e-06,1.2658550567886707e-06,1.4184097704913775e-06,1.418906673925491e-06,1.4387533862966494e-06,1.4772224937917134e-06,1.5129241768158846e-06,1.5129443626841806e-06,1.512104280176108e-06,1.5369143830543696e-06,1.557620943464987e-06,1.568945817051517e-06,1.5702706116294529e-06,1.5724934836495677e-06,1.5586981752795883e-06,1.562163501567876e-06,1.5667116480653986e-06,1.565612286094699e-06,1.5651150400185547e-06,1.579633615936561e-06,1.5772354186771197e-06,1.575245053250296e-06,1.5863044913077375e-06,1.5868862875426412e-06,1.5865154355948117e-06,1.577838164556974e-06,1.5720362164548614e-06,1.5692989789317357e-06,1.5687466482209118e-06,1.565212729173175e-06,1.566802810870291e-06,1.5671811996685376e-06,1.5667004969142305e-06,1.5661480736934192e-06,1.5662878371791836e-06,1.5702702045485914e-06,1.5774796339014536e-06,1.5774784369766115e-06,1.5858411089947514e-06,1.5867157148500145e-06,1.5869505643259688e-06,1.5874340237612345e-06,1.5891564014240703e-06,1.5894163134160515e-06,1.5941868751130224e-06,1.594696165292779e-06,1.5947599355032712e-06
20060,1.1752897489679245e-80,1.0098077425239325e-29,1.0142191701752479e-29,1.0482698827646381e-29,9.292013231223362e-30,5.206209162900952e-29,3.9731092733949785e-28,4.0914769813339315e-28,6.36984865437666e-28,7.317018134616901e-28,5.863339132039072e-28,5.530199866588482e-28,5.529664232520255e-28,4.199404232357283e-28,6.807882967074301e-28,7.177318378288999e-28,1.5508827261016018e-27,1.6338307424549856e-27,1.9023114023308353e-27,1.9422389409534154e-27,1.7970924858251534e-27,1.9706375076545392e-27,1.5584984778154856e-27,1.6250985439783037e-27,1.6272686246013655e-27,1.5390569400655091e-27,1.297737455507586e-27,1.2454989683412003e-27,1.2357121764233796e-27,1.0982839730568253e-27,1.0329890928259127e-27,1.0036543511284792e-27,8.75521254591152e-28,9.09296360365809e-28,1.1013533067060846e-27,1.40881313830891e-26,1.4083120865775462e-26,2.0986181042631952e-26,2.0848729810303959e-26,2.2266778001736775e-26,3.5052326259747135e-27,1.768005222258639e-27,1.6214713584859308e-27,1.8641992797504774e-25,1.8661689647537107e-25,1.8300463489661058e-25,4.0370582912331145e-26,6.059557679831775e-26,7.012020313172728e-26,6.733819020491622e-26,2.1573861235300492e-26,1.869431388736631e-26
3006.09c,7.044845021695005e-75,1.3870672634440796e-22,1.3947229141299106e-22,1.4581243590925085e-22,1.4538038552625976e-22,6.996533026537781e-22,7.904781590253277e-21,8.198945478195779e-21,8.288754937889764e-21,8.982662293099579e-21,7.508270882295529e-21,7.164715277368739e-21,7.163751975775024e-21,7.108680589157424e-21,9.499757650343653e-21,9.99331246715491e-21,2.760695946409339e-20,2.9515087042246596e-20,2.960269833039342e-20,3.030145355586063e-20,2.8272122261279045e-20,3.0976940011577987e-20,2.319749894333447e-20,2.3233858717449916e-20,2.3221290460835213e-20,2.1931322734177308e-20,1.7905972039588253e-20,1.6822078594628868e-20,1.663950165657626e-20,1.658746249161745e-20,1.5967324974152442e-20,1.5437059754661432e-20,1.3485787792981628e-20,1.3400770532930922e-20,1.7543973105040753e-20,2.096351776590892e-19,2.252141575798136e-19,3.547300167219885e-19,3.531682785789746e-19,3.5225840467578033e-19,6.423110036020137e-20,3.1113025287953347e-20,3.099368772325631e-20,6.518318724298199e-19,6.512077590191205e-19,6.511784664400943e-19,7.077269180153875e-19,1.1296852841974362e-18,1.1519913082656768e-18,1.2119663976948186e-18,4.203164329793198e-19,3.622381375927241e-19
3007.09c,2.9244603224951293e-81,1.951476742551935e-27,4.3274034299681226e-27,4.968195215803888e-27,4.959270809278163e-27,9.470006526850538e-26,6.956287514048881e-25,7.5907838718972405e-25,7.597723125702619e-25,5.234677928068292e-25,4.514526427978245e-25,4.395169513182607e-25,4.394611179058041e-25,4.39400720341499e-25,3.573905407355694e-24,4.165827514794625e-24,8.831955394375857e-24,9.379786051559032e-24,9.386096496404027e-24,9.719850368930581e-24,8.106162410299731e-24,9.686812694318684e-24,7.378625932582034e-24,7.376647263626088e-24,5.502182514009218e-24,5.030119234773233e-24,3.9372961479062194e-24,3.6480233103740234e-24,3.6051382518555936e-24,3.6035113947769475e-24,2.447006198862977e-24,2.3639732109687356e-24,1.9516666439656577e-24,1.938453040548778e-24,3.582420237536436e-24,4.079398799321855e-23,4.4086427000404833e-23,8.75961635627998e-23,8.87545105109852e-23,8.877431611198513e-23,1.8196809357499387e-23,9.565993270491166e-24,9.554344150869356e-24,5.198928372773223e-22,5.204614975831267e-22,5.205735551210507e-22,1.6208267667654065e-22,2.4762895216000716e-22,2.5029124424307227e-22,2.248138457392074e-22,1.0133685481386009e-22,9.231958050022061e-23
30080,2.6197138483527856e-85,3.223821814760821e-39,6.92724232527608e-39,7.948202133697888e-39,7.372740544280322e-39,1.4332109928856034e-37,1.0529959066805875e-36,1.1490102384561449e-36,6.03234385698792e-36,5.8432311148363964e-36,5.786649479328541e-36,5.873719745162852e-36,5.8739261232922415e-36,1.888403282217117e-36,8.671963670955413e-35,1.3108692040349134e-34,2.0192423791326007e-34,2.0709140707215436e-34,1.2901158111279128e-33,1.5029126146252538e-33,7.232574007234255e-34,9.095750221856416e-34,8.027701998989732e-34,1.6978298681462203e-33,6.210022589887159e-34,4.634443060996172e-34,1.8533728096215481e-34,1.9162155998809911e-34,1.9111756436923635e-34,6.98501986265094e-35,3.995963881002887e-35,4.6750265847098834e-35,4.233986071336953e-35,3.414861203400559e-36,6.324929589499154e-36,7.197690132439609e-35,2.209907283435379e-33,3.7230306222362954e-33,3.7330110758447544e-33,2.056069747434652e-33,5.7053117369477385e-34,5.11545987157186e-34,6.812059483419305e-35,9.528874875773817e-34,9.269948634373308e-34,3.468847606185272e-33,1.922572096432146e-33,2.8132307492755424e-33,2.3436117144103206e-33,2.291731237804203e-33,2.051063677642168e-33,2.0751458112897585e-33
