,1,2,3,4,Avg
0_0,2.6024155727284723,2.2792953947957963,1.9545293259096037,1.9598590287886477,2.19902483055563
0_1,5.923436691157485,4.921360996437098,4.161603755613478,4.306075327125376,4.828119192583359
0_2,9.362871877219598,8.004154017239102,6.9620274637018404,7.041550250542749,7.842650902175822
0_3,13.298650273713312,11.310424030918355,9.842728865257467,9.912815087638295,11.091154564381856
0_4,17.00529189074992,14.574013800994894,12.662300322358238,12.571428865937621,14.203258720010169
0_5,20.544023439424375,17.471052194536377,15.207973461387708,15.20848344860047,17.107883135987233
0_6,23.467025368023844,19.848148519213513,17.239616062677573,17.232482004647334,19.446817988640568
0_7,25.794180568700042,21.89215421816671,18.966722307271116,18.772839200697767,21.35647407370891
0_8,27.82082540590101,23.940459660379442,21.02955699690129,20.835901269704475,23.406685833221555
0_9,30.409847624692237,26.550720922470703,23.65331149974606,23.458055260050727,26.017983826739933
0_10,33.20464570213233,29.36777609627181,26.484065360634755,26.286406056924875,28.835723303990942
0_11,36.167434462250974,32.36077812459564,29.49643834179035,29.29590781022503,31.8301396847155
0_12,39.20334469060806,35.42942628010675,32.58605872328818,32.382269732707414,34.900274856677605
0_13,41.86863824331683,38.12314892481321,35.2977325431713,35.09080418444112,37.59508097393561
0_14,44.03598750824751,40.31444851424862,37.50417386435525,37.29457958033172,39.78729736679578
0_15,45.724348868368125,42.024576816006146,39.22856648904905,39.01700581438589,41.4986244969523
0_16,47.58918440609127,43.91559361712065,41.13700190421708,40.92329958423882,43.391269877916955
0_17,49.95712676769685,46.31198892893364,43.551568144719944,43.33480874252811,45.78887314596963
0_18,52.63018107701564,49.01841994743413,46.27949891922787,46.05932631094591,48.49685656365589
0_19,55.569826961930296,51.99521391028918,49.28026724607485,49.05634571066871,51.47541345724076
0_20,58.433323830270396,54.89412615466623,52.201858497711974,51.97420700352253,54.37587887154279
0_21,60.978152914160475,57.47193916849166,54.80107841018951,54.5702450569364,56.95535388744452
0_22,63.0320195524836,59.552047583616734,56.89813884416661,56.66471295337385,59.0367297334102
0_23,64.63057589771898,61.17381829936601,58.53541900212916,58.30019245101218,60.66000141255659
0_24,66.41869054770181,62.9879094479328,60.36685017333698,60.129594714260406,62.475761220808
0_25,68.65741538872531,65.25704782020091,62.655997829184,62.41611396434178,64.746643750613
0_26,71.17243786141199,67.80673391979097,65.22860554301772,64.98585699782289,67.2984085805109
0_27,73.86245663008401,70.53198435372644,67.97692584834098,67.73109476999873,70.02561540053755
0_28,76.55975299632325,73.26759687488887,70.73815825863329,70.48948028366412,72.76374710337738
0_29,78.92363764140026,75.66368256161847,73.15563554413478,72.90447778962329,75.1618583841942
0_30,80.81977214455983,77.58534971187213,75.09429861907878,74.84123426252907,77.08516368450995
0_31,82.30593082958767,79.09373825445049,76.6178334975202,76.36341853712769,78.59523027967151
0_32,83.9650597554602,80.77883794802798,78.32077266795102,78.0649042000741,80.28239364287833
0_33,86.01277568693921,82.85473123676425,80.41563777467957,80.15790226394816,82.36026174058279
0_34,88.40745547620291,85.28224883044443,82.8653129982418,82.60547065361,84.79012198962478
0_35,90.93935317000538,87.84919698435144,85.45601344653323,85.19403576534663,87.35964984155916
0_36,93.3550882308132,90.2979431824535,87.92716367258083,87.66324087512494,89.81085899024312
0_37,95.58921682609923,92.56296582044384,90.21327030927182,89.94764871376024,92.07827541739378
0_38,97.34820946990337,94.34639954872601,92.01345418400875,91.74656523763157,93.86365711006742
0_39,98.69430139671526,95.71215363965834,93.39282505998496,93.12503435658745,95.23107861323649
0_40,100.16833177407966,97.20831681146123,94.90437479119048,94.63561375680638,96.72915928338443
0_41,102.04263438388118,99.10956037287691,96.82428323866337,96.5543176027424,98.63269889954097
0_42,104.21739077918949,101.31394161584231,99.04910851672365,98.77779701722262,100.83955948224451
0_43,106.52553614597471,103.6536659310524,101.41070033471615,101.13803402252636,103.18198410856742
0_44,108.8124657067852,105.97027971667455,103.74781626427226,103.47388521543536,105.50111172579184
0_45,110.85782861542653,108.0432554136496,105.8400049312692,105.56500742634913,107.57652409667361
0_46,112.54034232075976,109.74841971925099,107.56096507419223,107.2851342968586,109.28371535276538
0_47,113.81089385894123,111.0379224040403,108.86385013494777,108.58742301852794,110.57502235411431
0_48,115.21380571934377,112.4613997189616,110.30184568999495,110.02477888948368,112.000457504446
0_49,117.05510265132531,114.327425686901,112.18522600864144,111.9073635210382,113.86877946697649
0_50,119.11915494718649,116.41926297903251,114.2966062750537,114.01789445961104,115.96322966522094
0_51,121.26782094018539,118.59718168323066,116.49517020322703,116.21562287297265,118.14394892490392
0_52,123.47592440548026,120.83468969885203,118.75345695971124,118.47311903952176,120.38429752589131
0_53,125.41545239720804,122.80021954494286,120.73741491147943,120.45642549806216,122.35237808792313
